,0
MA-ZTS,0.0
MAR-TMO,0.0
MCK-VZ,1.2327508959662914e-12
MCO-VRTX,0.0
MCO-ZTS,0.04787585374887332
MDT-VRTX,0.0
MELI-VRTX,0.0
META-VRTX,0.0
MRK-VZ,1.3242325637005797e-12
MS-ORCL,0.001555114138194482
MS-YUM,0.02294511605295188
NKE-VRTX,1.8472534248309948e-13
NOW-VRTX,2.8814567708264767e-12
NWSA-V,0.0
ORCL-TXN,0.0
PGR-VZ,0.0
REGN-TTWO,5.369077123675734e-13
REGN-VZ,3.097850415089157e-12
REGN-ZG,0.0
ROST-SBUX,2.1552566198416746e-12
RY-WFC,0.0
SCHW-WFC,0.015090313486307867
SPGI-VRTX,2.7960872575049347e-13
SPGI-ZTS,0.007764561529074554
SPOT-TTWO,0.0025148246519625106
SYK-TXN,1.0817571263207873e-12
T-TXN,3.70727825898308e-12
T-VRTX,0.0
T-YUM,0.0
T-ZTS,0.0
TD-WFC,0.007835947296634362
TJX-VZ,2.9650993555702536e-12
TMO-YUM,0.0025061656128570033
UNH-ZG,0.0
V-VRTX,9.36357001339649e-13
V-VZ,1.5414237782834436e-12
V-WBD,0.0
V-YUM,3.1354307578146e-12
V-ZG,0.0
V-ZTS,0.0
